Datetime,Tweet Id,Text,Username
2022-01-29 00:53:15+00:00,1487227304308838403,"Former governor of Zamfara State, Alhaji Abdulaziz Yari had a meeting with former Vice President Atiku Abubakar and former Senate President, Bukola Saraki. https://t.co/ewRpjAFoyl",TheNationNews
2022-01-29 00:47:32+00:00,1487225866379689987,"Atiku Abubakar calls on Ebonyi governor to return PDP secretariat, release party’s spokesman https://t.co/d93I0ejUue via @todayng",NigeriaNewsdesk
2022-01-28 23:34:22+00:00,1487207451283832832,"Atiku Abubakar is our HOPE!

#Atikukawai https://t.co/MhbGXMCCTj",ThlizaI
2022-01-28 23:24:39+00:00,1487205007392919552,"Proudly #Atikukawai member, @atiku Abubakar ambassador, an advocate of good governance. 
#AutanAtiku https://t.co/oqAq6xk4w5",ItZ_0mar_SenioR
2022-01-28 23:18:41+00:00,1487203507635691525,"Zaddy can read, write and reason. 
In 30 days, Lagos will host the biggest political event in 2022 Q1 powered by AtikuKawai Media Group. The Atiku Abubakar TownHall Meetings 2.0 is slated for the 26th of February, 2022 in 
This is Atiku we are talking about
#AtikuTownHallMeetings https://t.co/Zr8E79oaTP",ItZ_0mar_SenioR
2022-01-28 23:18:04+00:00,1487203351972687872,"Atiku Abubakar is our HOPE!

#Atikukawai https://t.co/kkv8aHi8Sd",jamiusagiru
2022-01-28 23:02:45+00:00,1487199497390276610,"From the Northwest City of Kano, Lagos in SouthWest will be Host of the next @atiku Abubakar TownHall Meeting. 

1 Venue
8 Speakers
36 States delegates
1 Goal

Powered by AtikuKawai Media Group
#AutanAtiku
#GoForCompetence https://t.co/udezYWMgE5",ItZ_0mar_SenioR
2022-01-28 22:59:22+00:00,1487198647347556355,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/jZ3jzXtHbm",ItZ_0mar_SenioR
2022-01-28 22:49:35+00:00,1487196184607444994,"Naira na gugar Naira.

Alhaji Aliko Dangote da Alhaji Atiku Abubakar cikin sahun sallah a masallaci. Wannan yana nuna maka komi kakeyi ka yanke domin gabatar da sallah. Domin baka kai wadannan zama busy ba.
Allah yasa mu dace.🙏🙏🙏 https://t.co/zOo8gyAg1c",Awwaldawakie
2022-01-28 22:22:45+00:00,1487189431912120323,President Atiku Abubakar 2023 by God grace. https://t.co/rDscLIgsS6,Yhyeedrix
2022-01-28 22:11:54+00:00,1487186698522226688,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/Xp73jO9f0o",AtikuKawai
2022-01-28 22:10:24+00:00,1487186321420562443,"@MallamRetweet Atiku Abubakar 2023

#Atikukawai",UstazAbdurahman
2022-01-28 22:09:29+00:00,1487186093422395398,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/yf774w0JwM",sirdanladi
2022-01-28 22:09:10+00:00,1487186010140254211,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/ARwd8rFe5W",Abdulras3Hamman
2022-01-28 22:05:33+00:00,1487185101465485312,"@Mai_shadda77 @MallamRetweet @atiku @Rasheethe Atiku Abubakar 2023

#Atikukawai",UstazAbdurahman
2022-01-28 21:57:54+00:00,1487183175843471369,"In Glory Reign today,  Pastor David Ibiyeomie stated that Nigeria doesn't need a politician again but a statesman whose thinking is that of the future Generation aside now; i remembered Atiku Abubakar and prayed for his success.",alabruce_j
2022-01-28 21:45:33+00:00,1487180068417720321,"Atiku Abubakar calls on Ebonyi governor to return PDP secretariat, release party’s spokesman https://t.co/MWp0EkfCtS",todayng
2022-01-28 21:42:06+00:00,1487179199618203653,@AliyuYa01623840 Aliyu Atiku Abubakar 😂,AU_GADA
2022-01-28 21:26:37+00:00,1487175305349500937,"Atiku Abubakar will always be my choice in 2023, I believe he’s the man the job needs not the man that needs the job.",DanBornoReal
2022-01-28 21:14:11+00:00,1487172175010357248,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/IgJpMfS0L8",MoniMike8
2022-01-28 20:57:40+00:00,1487168018165678082,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/P04W9IerPx",UmarIlu8
2022-01-28 20:52:46+00:00,1487166783761047559,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/ZxJ4VG1WcT",Faisal_abdool
2022-01-28 20:48:01+00:00,1487165591572164614,"Atiku Abubakar is our HOPE!

#Atikukawai https://t.co/yq6XfXJqAY",Marwanyunusa3
2022-01-28 20:47:14+00:00,1487165391872966661,"Atiku Abubakar is our HOPE!

#Atikukawai https://t.co/ifqh8ZJxPN",khamaal_h
2022-01-28 20:44:10+00:00,1487164619458285573,"Atiku Abubakar is our HOPE!

#Atikukawai https://t.co/getJvG8V6E",abdullahiisha25
2022-01-28 20:41:41+00:00,1487163996037951494,"Atiku Abubakar is our HOPE!

#AtikuKawai... https://t.co/QcjgQDjGNe",AmuludunOmoOwo
2022-01-28 20:38:27+00:00,1487163182154194953,"Atiku Abubakar is our HOPE!

#AtikuKawai🇳🇬 https://t.co/CCl3JX6E0r",Abuubaidahmakam
2022-01-28 20:38:16+00:00,1487163137967243266,"Atiku Abubakar is our HOPE

#Atikukawai https://t.co/iU7Z7pxfnr",al__nufawey
2022-01-28 20:37:13+00:00,1487162872039886855,"H.E @atiku Abubakar condole with the families of Late Alh. Hamman Ahmad, former CG of the Nigeria Customs Service.

May Almighty Allah forgive his shortcomings and grant him Jannatul Firdous 🙏 https://t.co/zueuCNm2DN",AtikuONMO
2022-01-28 20:29:37+00:00,1487160959378542593,"H.E @atiku Abubakar condole with the families of Late Alh. Hamman Ahmad, former CG of the Nigeria Customs Service.

May Almighty Allah forgive his shortcomings and grant him Jannatul Firdous 🙏 https://t.co/9BoHSaxemf",jrnaib2
2022-01-28 20:28:09+00:00,1487160591382990852,"Atiku Abubakar is our HOPE!

#Atikukawai https://t.co/NNBuaLEWE1",MallamRetweet
2022-01-28 20:26:24+00:00,1487160149806571525,"Atiku Abubakar is our HOPE!

#AtikuKawai https://t.co/5dmO87dCbe",Galafi_Hamma
